10.126.219.100,20024.0
10.126.219.11,36764.0
10.126.219.130,65420.0
10.126.219.131,58240.0
10.126.219.133,44354.0
10.126.219.134,40705.0
10.126.219.135,38230.0
10.126.219.162,42330.0
10.126.219.163,45274.0
10.126.219.164,22467.0
10.126.219.194,899.0
10.126.219.197,36433.0
10.126.219.198,37757.0
10.126.219.199,49319.0
10.126.219.2,37031.0
10.126.219.210,1030.0
10.126.219.213,43836.0
10.126.219.214,56054.0
10.126.219.217,26554.0
10.126.219.219,27697.0
10.126.219.226,517.0
10.126.219.229,54626.0
10.126.219.230,69119.0
10.126.219.231,51780.0
10.126.219.242,30021.0
10.126.219.245,16170.0
10.126.219.3,43932.0
10.126.219.34,50869.0
10.126.219.35,36871.0
10.126.219.36,321.0
10.126.219.37,48784.0
10.126.219.4,62305.0
10.126.219.5,48912.0
10.126.219.51,26401.0
10.126.219.66,552.0
10.126.219.67,54482.0
10.126.219.68,54251.0
10.126.219.73,49008.0
10.126.219.98,38450.0
10.126.219.99,40609.0
10.126.220.114,1193.0
10.126.220.117,47060.0
10.126.220.118,44848.0
10.126.220.119,43219.0
10.126.220.130,806.0
10.126.220.131,68539.0
10.126.220.135,43897.0
10.126.220.146,61550.0
10.126.220.147,37319.0
10.126.220.151,25197.0
10.126.220.162,0.0
10.126.220.165,30396.0
10.126.220.166,32676.0
10.126.220.178,0.0
10.126.220.18,25680.0
10.126.220.181,36805.0
10.126.220.194,43452.0
10.126.220.195,35229.0
10.126.220.2,29748.0
10.126.220.21,48012.0
10.126.220.210,32240.0
10.126.220.211,31931.0
10.126.220.212,45543.0
10.126.220.22,18757.0
10.126.220.34,929.0
10.126.220.37,35816.0
10.126.220.5,16480.0
10.126.220.50,18162.0
10.126.220.53,33296.0
10.126.220.66,45110.0
10.126.220.69,32726.0
10.126.220.70,33366.0
10.126.220.82,41638.0
10.126.220.85,42555.0
10.126.220.98,43429.0
10.126.220.99,21534.0
