IP,202406240139,202406240140,202406240141,202406240145,202406240150,202406240155,202406240200,202406240205,202406240210,202406240215,202406240220,202406240225,202406240230,202406240235,202406240240,202406240245,202406240250,202406240255,202406240300,202406240305,202406240310,202406240315,202406240320,202406240325,202406240330,202406240335,202406240340,202406240345,202406240350,202406240355,202406240400,202406240405,202406240410,202406240415,202406240420,202406240425,202406240430,202406240435,202406240440,202406240445,202406240450,202406240455,202406240500,202406240505,202406240510,202406240515,202406240520,202406240525,202406240530,202406240535,202406240540,202406240545,202406240550,202406240555,202406240600,202406240605,202406240610,202406240615,202406240620,202406240625,202406240630,202406240635,202406240640,202406240645,202406240650,202406240655,202406240700,202406240705,202406240710,202406240715,202406240720,202406240725,202406240730,202406240735,202406240740,202406240745,202406240750,202406240755,202406240800,202406240805,202406240810,202406240815,202406240820,202406240825,202406240830,202406240835,202406240840,202406240845,202406240850,202406240855,202406240900,202406240905,202406240910,202406240915,202406240920,202406240925,202406240930,202406240935
10.126.219.5,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,141866,142574,142574,142574,142574,142574,143205,143205,143205,143205
10.126.219.4,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733,447733
10.126.219.213,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780,738780
10.126.219.214,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
10.126.220.50,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077,3077
10.126.219.133,747,748,748,748,749,750,750,752,752,754,755,756,756,757,757,757,757,757,757,757,758,758,758,758,758,759,759,759,759,760,760,761,762,762,762,763,763,764,764,765,766,766,767,767,768,770,770,772,772,776,777,777,777,777,779,779,781,783,785,786,787,787,788,789,790,791,791,794,795,797,798,798,799,800,803,803,808,808,808,809,815,817,818,818,820,822,823,827,827,831,834,836,838,841,841,842
10.126.219.245,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016
10.126.219.3,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342,3445280342
10.126.219.130,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3060,3061,3061,3061,3061,3062,3062,3062,3062,3062,3062,3063,3063,3063,3063,3063,3063,3063,3063,3063,3063,3064,3064,3064,3064,3064,3064,3064,3064,3064
